Time spent on page,Average mouse speed,Average time spent on fields,Average interval between fields,Average mouse angle change,Average variance of x-axis clicks,Jitter count,Tremors count,Backspace count,Repeated key count,isHuman
2.47,767.15,0.12,0.18,57.22,375967.0,1.0,0.0,0.0,0.0,FALSE
2.36,403.27,0.15,0.08,124.97,46363.0,1.0,0.0,0.0,0.0,FALSE
1.51,436.26,0.15,0.13,38.19,422569.0,1.0,0.0,0.0,0.0,FALSE
1.62,717.63,0.12,0.2,14.5,172999.0,1.0,0.0,0.0,0.0,FALSE
2.49,553.61,0.21,0.19,87.37,422111.0,1.0,0.0,0.0,0.0,FALSE
2.51,586.33,0.09,0.09,60.43,179345.0,1.0,0.0,0.0,0.0,FALSE
1.59,777.96,0.13,0.12,168.77,146033.0,1.0,0.0,0.0,0.0,FALSE
2.64,765.44,0.17,0.09,84.93,81089.0,1.0,0.0,0.0,0.0,FALSE
2.25,895.19,0.13,0.13,58.7,283740.0,1.0,0.0,0.0,0.0,FALSE
1.95,115.98,0.16,0.11,35.21,270946.0,1.0,0.0,0.0,0.0,FALSE
1.51,387.68,0.12,0.13,15.25,61139.0,1.0,0.0,0.0,0.0,FALSE
1.6,654.51,0.17,0.15,133.91,30369.0,1.0,0.0,0.0,0.0,FALSE
1.64,994.01,0.14,0.25,127.55,53645.0,1.0,0.0,0.0,0.0,FALSE
2.67,434.29,0.13,0.17,144.48,154485.0,1.0,0.0,0.0,0.0,FALSE
1.79,366.67,0.22,0.13,132.25,328542.0,1.0,0.0,0.0,0.0,FALSE
1.64,232.87,0.2,0.07,3.21,258451.0,1.0,0.0,0.0,0.0,FALSE
2.37,496.8,0.15,0.19,33.63,267525.0,1.0,0.0,0.0,0.0,FALSE
2.13,399.24,0.14,0.24,79.63,392777.0,1.0,0.0,0.0,0.0,FALSE
1.84,335.62,0.18,0.15,167.0,404151.0,1.0,0.0,0.0,0.0,FALSE
2.56,433.16,0.12,0.17,134.26,378915.0,1.0,0.0,0.0,0.0,FALSE
2.06,330.93,0.2,0.12,174.23,187082.0,1.0,0.0,0.0,0.0,FALSE
1.68,456.78,0.18,0.16,4.75,125612.0,1.0,0.0,0.0,0.0,FALSE
2.61,795.74,0.08,0.21,128.76,55824.0,1.0,0.0,0.0,0.0,FALSE
1.79,444.85,0.19,0.2,86.68,110331.0,1.0,0.0,0.0,0.0,FALSE
1.82,665.7,0.21,0.09,91.82,13609.0,1.0,0.0,0.0,0.0,FALSE
1.61,470.76,0.13,0.15,49.42,279461.0,1.0,0.0,0.0,0.0,FALSE
1.96,265.72,0.07,0.23,4.49,102204.0,1.0,0.0,0.0,0.0,FALSE
1.77,590.34,0.18,0.07,51.49,216395.0,1.0,0.0,0.0,0.0,FALSE
1.88,382.92,0.11,0.09,165.22,27803.0,1.0,0.0,0.0,0.0,FALSE
2.12,650.53,0.2,0.15,167.22,431562.0,1.0,0.0,0.0,0.0,FALSE
2.13,845.1,0.1,0.22,122.64,242647.0,1.0,0.0,0.0,0.0,FALSE
2.06,667.93,0.23,0.1,166.94,73187.0,1.0,0.0,0.0,0.0,FALSE
1.57,703.39,0.09,0.13,166.96,244569.0,1.0,0.0,0.0,0.0,FALSE
2.39,981.36,0.15,0.12,171.95,439139.0,1.0,0.0,0.0,0.0,FALSE
2.37,923.98,0.14,0.2,146.36,104026.0,1.0,0.0,0.0,0.0,FALSE
2.44,808.21,0.13,0.23,44.12,34910.0,1.0,0.0,0.0,0.0,FALSE
2.49,503.33,0.1,0.16,107.16,298555.0,1.0,0.0,0.0,0.0,FALSE
2.13,315.48,0.14,0.14,153.5,465952.0,1.0,0.0,0.0,0.0,FALSE
1.91,192.35,0.09,0.2,58.69,499027.0,1.0,0.0,0.0,0.0,FALSE
2.21,267.3,0.09,0.2,26.42,327299.0,1.0,0.0,0.0,0.0,FALSE
2.63,717.35,0.25,0.16,154.34,41685.0,1.0,0.0,0.0,0.0,FALSE
2.48,432.08,0.15,0.08,44.84,139569.0,1.0,0.0,0.0,0.0,FALSE
2.64,248.63,0.1,0.12,99.87,193412.0,1.0,0.0,0.0,0.0,FALSE
1.84,505.48,0.09,0.08,47.4,13113.0,1.0,0.0,0.0,0.0,FALSE
2.63,224.51,0.09,0.24,26.35,359137.0,1.0,0.0,0.0,0.0,FALSE
1.64,947.29,0.25,0.17,87.38,281679.0,1.0,0.0,0.0,0.0,FALSE
2.67,499.3,0.13,0.17,47.92,28339.0,1.0,0.0,0.0,0.0,FALSE
1.78,938.59,0.11,0.2,152.9,229922.0,1.0,0.0,0.0,0.0,FALSE
2.27,591.33,0.1,0.17,44.6,467872.0,1.0,0.0,0.0,0.0,FALSE
1.65,680.7,0.13,0.24,152.41,322589.0,1.0,0.0,0.0,0.0,FALSE
2.53,414.13,0.21,0.12,38.48,302892.0,1.0,0.0,0.0,0.0,FALSE
2.68,393.59,0.13,0.17,168.71,411322.0,1.0,0.0,0.0,0.0,FALSE
1.63,519.55,0.2,0.11,11.56,444802.0,1.0,0.0,0.0,0.0,FALSE
1.96,957.16,0.22,0.13,173.48,143894.0,1.0,0.0,0.0,0.0,FALSE
2.23,683.17,0.13,0.24,42.58,457016.0,1.0,0.0,0.0,0.0,FALSE
2.56,972.58,0.19,0.08,4.76,272961.0,1.0,0.0,0.0,0.0,FALSE
2.15,889.51,0.22,0.25,49.73,110006.0,1.0,0.0,0.0,0.0,FALSE
1.67,714.27,0.21,0.09,177.69,22886.0,1.0,0.0,0.0,0.0,FALSE
2.51,581.6,0.17,0.18,35.9,369494.0,1.0,0.0,0.0,0.0,FALSE
2.21,509.84,0.09,0.14,107.23,443075.0,1.0,0.0,0.0,0.0,FALSE
2.35,453.6,0.19,0.2,81.69,408508.0,1.0,0.0,0.0,0.0,FALSE
1.87,367.46,0.17,0.14,56.15,116339.0,1.0,0.0,0.0,0.0,FALSE
1.56,385.44,0.07,0.23,121.64,362624.0,1.0,0.0,0.0,0.0,FALSE
2.68,169.51,0.13,0.11,4.0,296317.0,1.0,0.0,0.0,0.0,FALSE
1.97,400.29,0.2,0.1,80.8,215897.0,1.0,0.0,0.0,0.0,FALSE
1.83,392.72,0.2,0.19,130.37,159248.0,1.0,0.0,0.0,0.0,FALSE
2.63,997.46,0.11,0.22,23.82,199541.0,1.0,0.0,0.0,0.0,FALSE
1.55,161.66,0.1,0.15,169.13,374153.0,1.0,0.0,0.0,0.0,FALSE
1.51,305.92,0.11,0.1,150.27,98472.0,1.0,0.0,0.0,0.0,FALSE
2.63,157.28,0.09,0.17,22.04,421344.0,1.0,0.0,0.0,0.0,FALSE
1.89,484.82,0.22,0.21,63.3,50200.0,1.0,0.0,0.0,0.0,FALSE
2.18,191.21,0.25,0.1,84.42,290024.0,1.0,0.0,0.0,0.0,FALSE
2.23,377.07,0.23,0.13,130.77,401007.0,1.0,0.0,0.0,0.0,FALSE
1.53,845.91,0.08,0.18,13.8,228662.0,1.0,0.0,0.0,0.0,FALSE
2.28,428.96,0.13,0.21,135.9,413802.0,1.0,0.0,0.0,0.0,FALSE
2.67,421.39,0.19,0.14,84.41,454741.0,1.0,0.0,0.0,0.0,FALSE
2.67,570.5,0.2,0.15,66.54,308384.0,1.0,0.0,0.0,0.0,FALSE
1.72,765.16,0.16,0.19,167.62,481614.0,1.0,0.0,0.0,0.0,FALSE
1.67,285.75,0.21,0.09,22.48,125672.0,1.0,0.0,0.0,0.0,FALSE
1.78,339.09,0.17,0.09,34.42,361904.0,1.0,0.0,0.0,0.0,FALSE
2.09,266.84,0.15,0.08,122.83,196132.0,1.0,0.0,0.0,0.0,FALSE
2.23,930.05,0.1,0.08,128.69,435967.0,1.0,0.0,0.0,0.0,FALSE
2.33,273.27,0.17,0.19,91.38,234190.0,1.0,0.0,0.0,0.0,FALSE
2.15,789.8,0.09,0.24,72.47,141280.0,1.0,0.0,0.0,0.0,FALSE
1.76,635.63,0.17,0.1,65.3,359152.0,1.0,0.0,0.0,0.0,FALSE
1.6,882.86,0.24,0.25,170.29,227486.0,1.0,0.0,0.0,0.0,FALSE
2.01,788.5,0.16,0.2,45.22,127222.0,1.0,0.0,0.0,0.0,FALSE
2.47,135.16,0.2,0.08,40.24,311325.0,1.0,0.0,0.0,0.0,FALSE
1.99,801.89,0.1,0.11,173.62,237865.0,1.0,0.0,0.0,0.0,FALSE
2.44,597.58,0.23,0.19,1.05,491551.0,1.0,0.0,0.0,0.0,FALSE
2.49,797.89,0.25,0.16,109.09,203447.0,1.0,0.0,0.0,0.0,FALSE
1.6,730.95,0.09,0.16,4.71,275218.0,1.0,0.0,0.0,0.0,FALSE
2.57,990.45,0.13,0.22,77.26,103818.0,1.0,0.0,0.0,0.0,FALSE
2.19,808.07,0.21,0.13,34.46,455217.0,1.0,0.0,0.0,0.0,FALSE
1.9,865.61,0.19,0.22,173.07,322169.0,1.0,0.0,0.0,0.0,FALSE
1.67,714.02,0.1,0.14,63.04,456238.0,1.0,0.0,0.0,0.0,FALSE
2.18,770.06,0.13,0.18,46.35,134613.0,1.0,0.0,0.0,0.0,FALSE
2.25,619.63,0.19,0.16,134.37,272510.0,1.0,0.0,0.0,0.0,FALSE
1.67,792.34,0.18,0.09,8.61,271832.0,1.0,0.0,0.0,0.0,FALSE
2.27,397.38,0.16,0.13,68.84,175766.0,1.0,0.0,0.0,0.0,FALSE
2.58,251.03,0.13,0.21,33.73,461875.0,1.0,0.0,0.0,0.0,FALSE
2.54,992.8,0.09,0.15,79.56,334486.0,1.0,0.0,0.0,0.0,FALSE
2.11,989.71,0.13,0.08,29.98,112510.0,1.0,0.0,0.0,0.0,FALSE
1.94,586.68,0.24,0.08,118.71,188443.0,1.0,0.0,0.0,0.0,FALSE
2.7,602.57,0.12,0.21,149.23,304462.0,1.0,0.0,0.0,0.0,FALSE
2.07,587.86,0.22,0.23,106.04,342327.0,1.0,0.0,0.0,0.0,FALSE
2.29,460.26,0.21,0.16,35.22,312179.0,1.0,0.0,0.0,0.0,FALSE
